OverallQual,TotalBsmtSF,GrLivArea,MSZoning,Utilities,Neighborhood,GarageType,HouseStyle,SalePrice
7,856,1710,RL,AllPub,CollgCr,Attchd,2Story,208500
6,1262,1262,RL,AllPub,Veenker,Attchd,1Story,181500
7,920,1786,RL,AllPub,CollgCr,Attchd,2Story,223500
7,756,1717,RL,AllPub,Crawfor,Detchd,2Story,140000
8,1145,2198,RL,AllPub,NoRidge,Attchd,2Story,250000
5,796,1362,RL,AllPub,Mitchel,Attchd,1.5Fin,143000
8,1686,1694,RL,AllPub,Somerst,Attchd,1Story,307000
7,1107,2090,RL,AllPub,NWAmes,Attchd,2Story,200000
7,952,1774,RM,AllPub,OldTown,Detchd,1.5Fin,129900
5,991,1077,RL,AllPub,BrkSide,Attchd,1.5Unf,118000
5,1040,1040,RL,AllPub,Sawyer,Detchd,1Story,129500
9,1175,2324,RL,AllPub,NridgHt,BuiltIn,2Story,345000
5,912,912,RL,AllPub,Sawyer,Detchd,1Story,144000
7,1494,1494,RL,AllPub,CollgCr,Attchd,1Story,279500
6,1253,1253,RL,AllPub,NAmes,Attchd,1Story,157000
7,832,854,RM,AllPub,BrkSide,Detchd,1.5Unf,132000
6,1004,1004,RL,AllPub,NAmes,Attchd,1Story,149000
4,0,1296,RL,AllPub,Sawyer,CarPort,1Story,90000
5,1114,1114,RL,AllPub,SawyerW,Detchd,1Story,159000
5,1029,1339,RL,AllPub,NAmes,Attchd,1Story,139000
8,1158,2376,RL,AllPub,NridgHt,BuiltIn,2Story,325300
7,637,1108,RM,AllPub,IDOTRR,Attchd,1.5Unf,139400
8,1777,1795,RL,AllPub,CollgCr,Attchd,1Story,230000
5,1040,1060,RM,AllPub,MeadowV,Attchd,1Story,129900
5,1060,1060,RL,AllPub,Sawyer,Attchd,1Story,154000
8,1566,1600,RL,AllPub,NridgHt,Attchd,1Story,256300
5,900,900,RL,AllPub,NAmes,Detchd,1Story,134800
8,1704,1704,RL,AllPub,NridgHt,Attchd,1Story,306000
5,1484,1600,RL,AllPub,NAmes,Attchd,1Story,207500
4,520,520,RM,AllPub,BrkSide,Detchd,1Story,68500
4,649,1317,C (all),AllPub,IDOTRR,Detchd,2Story,40000
5,1228,1228,RL,AllPub,Sawyer,Attchd,1Story,149350
8,1234,1234,RL,AllPub,CollgCr,Attchd,1Story,179900
5,1398,1700,RL,AllPub,NAmes,Attchd,1Story,165500
9,1561,1561,RL,AllPub,NridgHt,Attchd,1Story,277500
8,1117,2452,RL,AllPub,NridgHt,BuiltIn,2Story,309000
